CLAIMS: 304 bullets in the card
  card -> packet:   PASS
  packet -> original: PASS
  traced end to end: 304 of 304 bullets

Section | Statement | Anchor | Where the quote sits in the original
  §7 | S103 | NM-EDD p. 7 line 39 | found in original on p. 7
  §7 | S135 | NM-EDD p. 21 line 13 | found in original on p. 21
  §7 | S140 | NM-EDD p. 21 line 18 | found in original on p. 21
  §7 | S142 | NM-EDD p. 21 line 21 | found in original on p. 21
  §7 | S148 | NM-EDD p. 21 line 29 | found in original on p. 21
  §7 | S151 | NM-EDD p. 21 line 35 | found in original on p. 21
  §7 | S152 | NM-EDD p. 21 line 35 | found in original on p. 21
  §7 | S153 | NM-EDD p. 21 line 38 | found in original on p. 21
  §7 | S154 | NM-EDD p. 22 line 1 (columns 1–1 of 2) | found in original on p. 22
  §7 | S155 | NM-EDD p. 22 line 2 | found in original on p. 22
  §7 | S156 | NM-EDD p. 22 line 3 | found in original on p. 22
  §7 | S158 | NM-EDD p. 22 line 4 (columns 1–1 of 2) | found in original on p. 22
  §7 | S159 | NM-EDD p. 22 line 5 | found in original on p. 22
  §7 | S160 | NM-EDD p. 22 line 6 | found in original on p. 22
  §7 | S161 | NM-EDD p. 22 line 7 | found in original on p. 22
  §7 | S162 | NM-EDD p. 22 line 8 | found in original on p. 22
  §7 | S163 | NM-EDD p. 22 line 9 (columns 1–1 of 2) | found in original on p. 22
  §7 | S164 | NM-EDD p. 22 line 10 | found in original on p. 22
  §7 | S165 | NM-EDD p. 22 line 11 | found in original on p. 22
  §7 | S166 | NM-EDD p. 22 line 12 | found in original on p. 22
  §7 | S167 | NM-EDD p. 22 line 13 | found in original on p. 22
  §7 | S168 | NM-EDD p. 22 line 14 | found in original on p. 22
  §7 | S169 | NM-EDD p. 22 line 15 | found in original on p. 22
  §7 | S170 | NM-EDD p. 22 line 16 | found in original on p. 22
  §7 | S171 | NM-EDD p. 22 line 17 | found in original on p. 22
  §7 | S174 | NM-EDD p. 22 line 20 | found in original on p. 22
  §7 | S175 | NM-EDD p. 22 line 21 | found in original on p. 22
  §7 | S176 | NM-EDD p. 22 line 22 | found in original on p. 22
  §7 | S177 | NM-EDD p. 22 line 26 | found in original on p. 22
  §7 | S179 | NM-EDD p. 22 line 28 | found in original on p. 22
  §7 | S180 | NM-EDD p. 22 line 29 | found in original on p. 22
  §7 | S181 | NM-EDD p. 22 line 30 | found in original on p. 22
  §7 | S182 | NM-EDD p. 22 line 32 | found in original on p. 22
  §7 | S183 | NM-EDD p. 22 line 35 | found in original on p. 22
  §7 | S185 | NM-EDD p. 23 line 2 | found in original on p. 23
  §7 | S186 | NM-EDD p. 23 line 3 | found in original on p. 23
  §7 | S187 | NM-EDD p. 23 line 5 | found in original on p. 23
  §7 | S189 | NM-EDD p. 23 line 7 | found in original on p. 23
  §7 | S190 | NM-EDD p. 23 line 7 | found in original on p. 23
  §7 | S192 | NM-EDD p. 23 line 9 | found in original on p. 23
  §7 | S193 | NM-EDD p. 23 line 9 | found in original on p. 23
  §7 | S195 | NM-EDD p. 23 line 11 | found in original on p. 23
  §7 | S197 | NM-EDD p. 23 line 14 | found in original on p. 23
  §7 | S198 | NM-EDD p. 23 line 17 | found in original on p. 23
  §7 | S200 | NM-EDD p. 23 line 19 | found in original on p. 23
  §7 | S201 | NM-EDD p. 23 line 22 | found in original on p. 23
  §7 | S204 | NM-EDD p. 23 line 24 | found in original on p. 23
  §7 | S207 | NM-EDD p. 23 line 28 | found in original on p. 23
  §7 | S210 | NM-EDD p. 23 line 33 | found in original on p. 23
  §8 | S014 | NM-EDD p. 4 line 11 | found in original on p. 4
  §8 | S016 | NM-EDD p. 4 line 16 | found in original on p. 4
  §8 | S055 | NM-EDD p. 5 line 43 | found in original on p. 5
  §8 | S060 | NM-EDD p. 6 line 7 | found in original on p. 6
  §8 | S062 | NM-EDD p. 6 line 10 | found in original on p. 6
  §8 | S077 | NM-EDD p. 7 line 3 | found in original on p. 7
  §8 | S146 | NM-EDD p. 21 line 27 | found in original on p. 21
  §8 | S200 | NM-EDD p. 23 line 19 | found in original on p. 23
  §9 | S086 | NM-EDD p. 7 line 20 | found in original on p. 7
  §9 | S087 | NM-EDD p. 7 line 20 | found in original on p. 7
  §9 | S096 | NM-EDD p. 7 line 32 | found in original on p. 7
  §9 | S097 | NM-EDD p. 7 line 33 | found in original on p. 7
  §9 | S098 | NM-EDD p. 7 line 34 | found in original on p. 7
  §9 | S099 | NM-EDD p. 7 line 35 | found in original on p. 7
  §9 | S100 | NM-EDD p. 7 line 36 | found in original on p. 7
  §9 | S101 | NM-EDD p. 7 line 37 | found in original on p. 7
  §9 | S102 | NM-EDD p. 7 line 38 | found in original on p. 7
  §9 | S103 | NM-EDD p. 7 line 39 | found in original on p. 7
  §9 | S104 | NM-EDD p. 7 line 40 | found in original on p. 7
  §9 | S105 | NM-EDD p. 7 line 41 | found in original on p. 7
  §9 | S106 | NM-EDD p. 8 line 1 | found in original on p. 8
  §9 | S107 | NM-EDD p. 8 line 2 | found in original on p. 8
  §9 | S108 | NM-EDD p. 8 line 3 | found in original on p. 8
  §9 | S109 | NM-EDD p. 8 line 4 | found in original on p. 8
  §9 | S111 | NM-EDD p. 8 line 6 | found in original on p. 8
  §9 | S134 | NM-EDD p. 21 line 11 | found in original on p. 21
  §9 | S137 | NM-EDD p. 21 line 16 | found in original on p. 21
  §9 | S138 | NM-EDD p. 21 line 17 | found in original on p. 21
  §9 | S146 | NM-EDD p. 21 line 27 | found in original on p. 21
  §9 | S153 | NM-EDD p. 21 line 38 | found in original on p. 21
  §9 | S154 | NM-EDD p. 22 line 1 (columns 1–1 of 2) | found in original on p. 22
  §9 | S155 | NM-EDD p. 22 line 2 | found in original on p. 22
  §9 | S156 | NM-EDD p. 22 line 3 | found in original on p. 22
  §9 | S157 | NM-EDD p. 22 line 4 (columns 1–1 of 2) | found in original on p. 22
  §9 | S158 | NM-EDD p. 22 line 4 (columns 1–1 of 2) | found in original on p. 22
  §9 | S159 | NM-EDD p. 22 line 5 | found in original on p. 22
  §9 | S160 | NM-EDD p. 22 line 6 | found in original on p. 22
  §9 | S161 | NM-EDD p. 22 line 7 | found in original on p. 22
  §9 | S162 | NM-EDD p. 22 line 8 | found in original on p. 22
  §9 | S163 | NM-EDD p. 22 line 9 (columns 1–1 of 2) | found in original on p. 22
  §9 | S164 | NM-EDD p. 22 line 10 | found in original on p. 22
  §9 | S165 | NM-EDD p. 22 line 11 | found in original on p. 22
  §9 | S166 | NM-EDD p. 22 line 12 | found in original on p. 22
  §9 | S167 | NM-EDD p. 22 line 13 | found in original on p. 22
  §9 | S168 | NM-EDD p. 22 line 14 | found in original on p. 22
  §9 | S169 | NM-EDD p. 22 line 15 | found in original on p. 22
  §9 | S170 | NM-EDD p. 22 line 16 | found in original on p. 22
  §9 | S171 | NM-EDD p. 22 line 17 | found in original on p. 22
  §10 | S018 | NM-EDD p. 4 line 18 | found in original on p. 4
  §10 | S019 | NM-EDD p. 4 line 21 | found in original on p. 4
  §10 | S020 | NM-EDD p. 4 line 22 | found in original on p. 4
  §10 | S021 | NM-EDD p. 4 line 23 | found in original on p. 4
  §10 | S022 | NM-EDD p. 4 line 24 | found in original on p. 4
  §10 | S023 | NM-EDD p. 4 line 25 | found in original on p. 4
  §10 | S024 | NM-EDD p. 4 line 26 | found in original on p. 4
  §10 | S025 | NM-EDD p. 4 line 28 | found in original on p. 4
  §10 | S026 | NM-EDD p. 4 line 29 | found in original on p. 4
  §10 | S027 | NM-EDD p. 4 line 33 | found in original on p. 4
  §10 | S034 | NM-EDD p. 5 line 4 | found in original on p. 5
  §10 | S035 | NM-EDD p. 5 line 5 | found in original on p. 5
  §10 | S036 | NM-EDD p. 5 line 6 | found in original on p. 5
  §10 | S037 | NM-EDD p. 5 line 8 | found in original on p. 5
  §10 | S038 | NM-EDD p. 5 line 10 | found in original on p. 5
  §10 | S039 | NM-EDD p. 5 line 12 | found in original on p. 5
  §10 | S040 | NM-EDD p. 5 line 12 | found in original on p. 5
  §10 | S041 | NM-EDD p. 5 line 17 | found in original on p. 5
  §10 | S042 | NM-EDD p. 5 line 19 | found in original on p. 5
  §10 | S043 | NM-EDD p. 5 line 21 | found in original on p. 5
  §10 | S044 | NM-EDD p. 5 line 22 | found in original on p. 5
  §10 | S045 | NM-EDD p. 5 line 24 | found in original on p. 5
  §10 | S046 | NM-EDD p. 5 line 26 | found in original on p. 5
  §10 | S047 | NM-EDD p. 5 line 28 | found in original on p. 5
  §10 | S050 | NM-EDD p. 5 line 32 | found in original on p. 5
  §10 | S051 | NM-EDD p. 5 line 34 | found in original on p. 5
  §10 | S053 | NM-EDD p. 5 line 37 | found in original on p. 5
  §10 | S054 | NM-EDD p. 5 line 40 | found in original on p. 5
  §10 | S055 | NM-EDD p. 5 line 43 | found in original on p. 5
  §10 | S056 | NM-EDD p. 6 line 1 | found in original on p. 6
  §10 | S057 | NM-EDD p. 6 line 2 | found in original on p. 6
  §10 | S058 | NM-EDD p. 6 line 3 | found in original on p. 6
  §10 | S059 | NM-EDD p. 6 line 5 | found in original on p. 6
  §10 | S060 | NM-EDD p. 6 line 7 | found in original on p. 6
  §10 | S061 | NM-EDD p. 6 line 9 | found in original on p. 6
  §10 | S062 | NM-EDD p. 6 line 10 | found in original on p. 6
  §10 | S063 | NM-EDD p. 6 line 14 | found in original on p. 6
  §10 | S064 | NM-EDD p. 6 line 18 | found in original on p. 6
  §10 | S065 | NM-EDD p. 6 line 22 | found in original on p. 6
  §10 | S066 | NM-EDD p. 6 line 23 | found in original on p. 6
  §10 | S067 | NM-EDD p. 6 line 26 | found in original on p. 6
  §10 | S068 | NM-EDD p. 6 line 30 | found in original on p. 6
  §10 | S069 | NM-EDD p. 6 line 32 | found in original on p. 6
  §10 | S070 | NM-EDD p. 6 line 37 | found in original on p. 6
  §10 | S071 | NM-EDD p. 6 line 38 | found in original on p. 6
